TIMESTAMP,EQUIPMENTID,EQUIPMENTTYPE,FACILITYID,VIBRATION,TEMPERATURE,PRESSURE,OILLEVEL,HEALTHSCORE,MAINTENANCENEEDED
6/12/2022,EQP_1000,Pump,FAC_005,3.601,75.52,163.93,67.03597425,0.8314,FALSE
6/13/2022,EQP_1000,Pump,FAC_005,2.974,70.33,170.34,62.94614701,0.8308,FALSE
6/14/2022,EQP_1000,Pump,FAC_005,3.79,79.69,163.64,70.90131924,0.8306,FALSE
6/15/2022,EQP_1000,Pump,FAC_005,2.339,84.97,149.95,69.39618707,0.8297,FALSE
6/16/2022,EQP_1000,Pump,FAC_005,3.234,76.76,146.86,59.02522169,0.8292,FALSE
6/17/2022,EQP_1000,Pump,FAC_005,3.895,76.65,152.58,68.05159565,0.8291,FALSE
6/18/2022,EQP_1000,Pump,FAC_005,3.309,72.88,148.78,65.88317963,0.829,FALSE
6/19/2022,EQP_1000,Pump,FAC_005,3.728,80.3,155.03,57.90985224,0.8281,FALSE
6/20/2022,EQP_1000,Pump,FAC_005,3.397,68.65,138.95,63.75098876,0.827,FALSE
6/21/2022,EQP_1000,Pump,FAC_005,2.681,78.88,164.41,63.62349712,0.8278,FALSE
6/22/2022,EQP_1000,Pump,FAC_005,3.241,81.82,151.73,64.16875204,0.8271,FALSE
6/23/2022,EQP_1000,Pump,FAC_005,3.667,76.34,155.96,64.28170105,0.8258,FALSE
6/24/2022,EQP_1000,Pump,FAC_005,2.907,73.63,149.72,62.63273985,0.825,FALSE
6/25/2022,EQP_1000,Pump,FAC_005,2.983,71.86,145.71,67.73795706,0.8248,FALSE
6/26/2022,EQP_1000,Pump,FAC_005,2.694,67.03,159.91,68.13519977,0.8257,FALSE
6/27/2022,EQP_1000,Pump,FAC_005,3.126,81.28,142.86,70.78636003,0.8253,FALSE
6/28/2022,EQP_1000,Pump,FAC_005,3.379,77.59,162.79,66.61632428,0.8233,FALSE
6/29/2022,EQP_1000,Pump,FAC_005,2.646,81.94,164.32,65.27173642,0.8234,FALSE
6/30/2022,EQP_1000,Pump,FAC_005,4.27,78.25,171.25,63.09647261,0.8211,FALSE
7/1/2022,EQP_1000,Pump,FAC_005,3.271,81.29,155.46,58.18700769,0.8229,FALSE
7/2/2022,EQP_1000,Pump,FAC_005,2.431,84.89,150.84,65.27061922,0.8233,FALSE
7/3/2022,EQP_1000,Pump,FAC_005,2.403,74.29,150.43,57.67007588,0.819,FALSE
7/4/2022,EQP_1000,Pump,FAC_005,4.421,83.99,154.25,53.83791135,0.8189,FALSE
7/5/2022,EQP_1000,Pump,FAC_005,3.235,78.41,143.21,69.40618306,0.8214,FALSE
7/6/2022,EQP_1000,Pump,FAC_005,2.801,90.34,146.01,72.36326137,0.8214,FALSE
7/7/2022,EQP_1000,Pump,FAC_005,2.836,81.77,153.17,65.01094711,0.8196,FALSE
7/8/2022,EQP_1000,Pump,FAC_005,3.178,76.38,156.86,67.34903712,0.8163,FALSE
7/9/2022,EQP_1000,Pump,FAC_005,3.084,78.21,177.09,61.09192866,0.8193,FALSE
7/10/2022,EQP_1000,Pump,FAC_005,2.609,80.01,151.13,59.63219645,0.8149,FALSE
7/11/2022,EQP_1000,Pump,FAC_005,3.071,80.06,178.27,68.1076105,0.8173,FALSE
7/12/2022,EQP_1000,Pump,FAC_005,2.283,79.68,144.06,63.04468828,0.8164,FALSE
7/13/2022,EQP_1000,Pump,FAC_005,4.024,89.13,172.34,63.60611773,0.8145,FALSE
7/14/2022,EQP_1000,Pump,FAC_005,2.554,82.15,164.41,63.96533695,0.8137,FALSE
7/15/2022,EQP_1000,Pump,FAC_005,3.391,74.3,167.09,72.91341846,0.8159,FALSE
7/16/2022,EQP_1000,Pump,FAC_005,3.528,80.27,138.29,61.59669501,0.8159,FALSE
7/17/2022,EQP_1000,Pump,FAC_005,3.029,78.82,153.8,62.64047285,0.8146,FALSE
7/18/2022,EQP_1000,Pump,FAC_005,3.418,88.07,143.39,62.24186113,0.8155,FALSE
7/19/2022,EQP_1000,Pump,FAC_005,3.486,81.04,145.23,66.05507427,0.816,FALSE
7/20/2022,EQP_1000,Pump,FAC_005,2.626,81.79,162.62,67.21761881,0.8158,FALSE
7/21/2022,EQP_1000,Pump,FAC_005,2.796,77.69,158.18,57.62358948,0.8141,FALSE
7/22/2022,EQP_1000,Pump,FAC_005,2.599,78.2,141.83,58.65796087,0.809,FALSE
7/23/2022,EQP_1000,Pump,FAC_005,3.5,83.05,147,67.49806631,0.8132,FALSE
7/24/2022,EQP_1000,Pump,FAC_005,2.766,75.98,168.04,60.2415122,0.8129,FALSE
7/25/2022,EQP_1000,Pump,FAC_005,1.933,76.66,165.96,67.88316737,0.8082,FALSE
7/26/2022,EQP_1000,Pump,FAC_005,2.193,82.5,159.35,58.78006142,0.8132,FALSE
7/27/2022,EQP_1000,Pump,FAC_005,3.091,79.06,150.3,64.7516019,0.81,FALSE
7/28/2022,EQP_1000,Pump,FAC_005,3.235,78.06,159.6,60.99083416,0.81,FALSE
7/29/2022,EQP_1000,Pump,FAC_005,2.657,81.52,146.17,65.81933245,0.8037,FALSE
7/30/2022,EQP_1000,Pump,FAC_005,2.896,82.25,154.85,60.7242566,0.8086,FALSE
7/31/2022,EQP_1000,Pump,FAC_005,2.631,72.41,150.43,62.06754448,0.8028,FALSE
8/1/2022,EQP_1000,Pump,FAC_005,3.21,82.1,160.39,64.83245152,0.8066,FALSE
8/2/2022,EQP_1000,Pump,FAC_005,2.579,71.79,153.33,63.08321297,0.8097,FALSE
8/3/2022,EQP_1000,Pump,FAC_005,3.135,79.61,160.94,66.17935742,0.8074,FALSE
8/4/2022,EQP_1000,Pump,FAC_005,3.66,72.1,141.44,61.56881611,0.8062,FALSE
8/5/2022,EQP_1000,Pump,FAC_005,3.388,72.17,154.79,65.47333613,0.8039,FALSE
8/6/2022,EQP_1000,Pump,FAC_005,3.158,77.83,151.79,63.06178559,0.8059,FALSE
8/7/2022,EQP_1000,Pump,FAC_005,2.409,75.34,147.37,66.78881624,0.8064,FALSE
8/8/2022,EQP_1000,Pump,FAC_005,3.591,72.05,158,64.23181631,0.803,FALSE
8/9/2022,EQP_1000,Pump,FAC_005,2.287,84.74,149.31,67.03587995,0.8,FALSE
8/10/2022,EQP_1000,Pump,FAC_005,3.293,84.13,152.28,70.31744576,0.8032,FALSE
8/11/2022,EQP_1000,Pump,FAC_005,2.988,75.21,154.26,67.73985432,0.803,FALSE
8/12/2022,EQP_1000,Pump,FAC_005,2.224,77.63,149.28,67.83973506,0.8002,FALSE
8/13/2022,EQP_1000,Pump,FAC_005,3.013,85.06,146.45,64.0172699,0.8054,FALSE
8/14/2022,EQP_1000,Pump,FAC_005,2.884,79.91,155.19,68.33143821,0.8041,FALSE
8/15/2022,EQP_1000,Pump,FAC_005,3.813,89.43,161.51,72.86054296,0.8055,FALSE
8/16/2022,EQP_1000,Pump,FAC_005,3.014,78.5,158.41,63.11855299,0.7956,FALSE
8/17/2022,EQP_1000,Pump,FAC_005,3.339,77.29,156.76,65.53908567,0.7981,FALSE
8/18/2022,EQP_1000,Pump,FAC_005,3.414,85.88,152.41,59.93104602,0.7987,FALSE
8/19/2022,EQP_1000,Pump,FAC_005,2.997,85,151.3,63.73235484,0.7981,FALSE
8/20/2022,EQP_1000,Pump,FAC_005,4.004,81.2,144.97,62.42156534,0.7991,FALSE
8/21/2022,EQP_1000,Pump,FAC_005,2.405,81.38,155.15,64.69674881,0.7955,FALSE
8/22/2022,EQP_1000,Pump,FAC_005,2.67,69.39,164.53,66.2371412,0.801,FALSE
8/23/2022,EQP_1000,Pump,FAC_005,2.644,80.62,140.8,63.49419045,0.8,FALSE
8/24/2022,EQP_1000,Pump,FAC_005,3.648,74.25,178.16,65.18184801,0.7903,FALSE
8/25/2022,EQP_1000,Pump,FAC_005,1.506,74.56,156.64,62.7078212,0.8,FALSE
8/26/2022,EQP_1000,Pump,FAC_005,3.263,76.38,151,63.23478511,0.7954,FALSE
8/27/2022,EQP_1000,Pump,FAC_005,3.312,77.48,169.65,59.75761366,0.8005,FALSE
8/28/2022,EQP_1000,Pump,FAC_005,1.851,84.21,154.73,60.9002611,0.7986,FALSE
8/29/2022,EQP_1000,Pump,FAC_005,3.843,81.6,152.46,63.82374776,0.7995,FALSE
8/30/2022,EQP_1000,Pump,FAC_005,3.054,86.35,174.26,67.04242209,0.7974,FALSE
8/31/2022,EQP_1000,Pump,FAC_005,2.054,73.47,147.66,65.93086706,0.7895,FALSE
9/1/2022,EQP_1000,Pump,FAC_005,3.302,79.87,160.8,60.06188816,0.7907,FALSE
9/2/2022,EQP_1000,Pump,FAC_005,2.911,76.5,147.97,67.74724396,0.7883,FALSE
9/3/2022,EQP_1000,Pump,FAC_005,2.687,81.26,148.49,66.01323174,0.7961,FALSE
9/4/2022,EQP_1000,Pump,FAC_005,4.145,85.48,145.53,60.11202898,0.7925,FALSE
9/5/2022,EQP_1000,Pump,FAC_005,2.917,87.27,173.65,55.10114445,0.7842,FALSE
9/6/2022,EQP_1000,Pump,FAC_005,3.885,84.51,151.12,64.27495052,0.7801,FALSE
9/7/2022,EQP_1000,Pump,FAC_005,2.523,72.7,149.89,65.48415189,0.7811,FALSE
9/8/2022,EQP_1000,Pump,FAC_005,3.577,80.02,160.59,65.34239665,0.7924,FALSE
9/9/2022,EQP_1000,Pump,FAC_005,3.112,77.16,159.54,60.88017703,0.7838,FALSE
9/10/2022,EQP_1000,Pump,FAC_005,3.1,80.26,138.75,68.07609081,0.7937,FALSE
9/11/2022,EQP_1000,Pump,FAC_005,3.468,77.48,158.11,64.46526224,0.777,FALSE
9/12/2022,EQP_1000,Pump,FAC_005,3.467,78.52,152.23,68.10929404,0.7876,FALSE
9/13/2022,EQP_1000,Pump,FAC_005,3.118,82.03,170.53,61.99705405,0.7792,FALSE
9/14/2022,EQP_1000,Pump,FAC_005,3.401,77.15,163.36,68.1266443,0.7877,FALSE
9/15/2022,EQP_1000,Pump,FAC_005,2.256,78.61,151.4,60.9219711,0.7822,FALSE
9/16/2022,EQP_1000,Pump,FAC_005,2.413,81.86,153.17,55.81442185,0.791,FALSE
9/17/2022,EQP_1000,Pump,FAC_005,2.559,79.38,161.53,61.3641728,0.7821,FALSE
9/18/2022,EQP_1000,Pump,FAC_005,4.277,70.87,169.64,56.327855,0.7846,FALSE
9/19/2022,EQP_1000,Pump,FAC_005,2.731,80.71,142.69,62.53856824,0.7838,FALSE
9/20/2022,EQP_1000,Pump,FAC_005,3.232,73.82,138.3,59.99023196,0.7732,FALSE
9/21/2022,EQP_1000,Pump,FAC_005,3.336,79.19,168.46,64.94480182,0.7819,FALSE
9/22/2022,EQP_1000,Pump,FAC_005,3.143,80.63,163.18,67.29746859,0.7803,FALSE
9/23/2022,EQP_1000,Pump,FAC_005,2.196,72.39,162.8,63.90652565,0.771,FALSE
9/24/2022,EQP_1000,Pump,FAC_005,3.07,75.99,151.83,57.06004051,0.7841,FALSE
9/25/2022,EQP_1000,Pump,FAC_005,3.272,87.33,151.05,64.23687896,0.7773,FALSE
9/26/2022,EQP_1000,Pump,FAC_005,2.045,86.82,161.26,64.57373179,0.7776,FALSE
9/27/2022,EQP_1000,Pump,FAC_005,3.635,75.29,144.55,63.1866615,0.7732,FALSE
9/28/2022,EQP_1000,Pump,FAC_005,3.311,79.03,165.6,62.16300239,0.7879,FALSE
9/29/2022,EQP_1000,Pump,FAC_005,3.131,78.53,157.06,60.36887468,0.7795,FALSE
9/30/2022,EQP_1000,Pump,FAC_005,4.171,83.1,162.52,61.39638072,0.7739,FALSE
10/1/2022,EQP_1000,Pump,FAC_005,3.838,85.06,147.53,61.18521318,0.7757,FALSE
10/2/2022,EQP_1000,Pump,FAC_005,2.44,82.77,166.73,63.08010808,0.7866,FALSE
10/3/2022,EQP_1000,Pump,FAC_005,2.679,85.1,161.91,59.29148825,0.7792,FALSE
10/4/2022,EQP_1000,Pump,FAC_005,3.16,89.5,161.09,64.65389115,0.7736,FALSE
10/5/2022,EQP_1000,Pump,FAC_005,2.644,76.18,163.07,65.40615311,0.779,FALSE
10/6/2022,EQP_1000,Pump,FAC_005,2.755,83.11,151.18,68.24156165,0.7834,FALSE
10/7/2022,EQP_1000,Pump,FAC_005,3.212,87.5,157.95,59.10734589,0.7693,FALSE
10/8/2022,EQP_1000,Pump,FAC_005,3.817,78.63,151.21,59.60197065,0.7712,FALSE
10/9/2022,EQP_1000,Pump,FAC_005,3.193,81.44,176.87,61.72579751,0.7769,FALSE
10/10/2022,EQP_1000,Pump,FAC_005,4.019,75.94,136.34,60.02386844,0.78,FALSE
10/11/2022,EQP_1000,Pump,FAC_005,2.236,76.97,155.7,63.85346447,0.7728,FALSE
10/12/2022,EQP_1000,Pump,FAC_005,3.238,83.31,159.7,57.45593683,0.7617,FALSE
10/13/2022,EQP_1000,Pump,FAC_005,3.83,75.45,146.76,63.66717543,0.7647,FALSE
10/14/2022,EQP_1000,Pump,FAC_005,2.927,88.23,147.31,63.63481021,0.7751,FALSE
10/15/2022,EQP_1000,Pump,FAC_005,3.005,86.29,158.65,64.62940583,0.776,FALSE
10/16/2022,EQP_1000,Pump,FAC_005,2.795,86.41,177.34,54.76423859,0.7629,FALSE
10/17/2022,EQP_1000,Pump,FAC_005,2.175,81.49,158.92,67.66317184,0.7742,FALSE
