DATE,WTIPRICE,BRENTPRICE,EVENTTYPE,EVENTIMPACT,WEATHERIMPACT,INVENTORYLEVEL,DEMANDFORECAST,"('DATE', '')","('WTIPRICE', 'CL=F')","('BrentPRICE', 'BZ=F')"
2020-06-12,46.09,48.81,normal,0.0,0.0,275.0083411,1.021761161,,,
2020-06-13,51.96,55.07,normal,0.0,0.0,293.181021,0.945289133,,,
2020-06-14,50.66,56.64,normal,0.0,0.0,398.3481758,1.053632324,,,
2020-06-15,53.82,58.52,normal,0.0,0.0,291.3518597,1.07508061,,,
2020-06-16,48.4,50.19,normal,0.0,0.0,340.8910824,1.143244774,,,
2020-06-17,54.29,55.78,normal,0.0,0.0,321.9506366,0.756520491,,,
2020-06-18,48.88,51.82,normal,0.0,-0.063536258,419.6777849,0.950470817,,,
2020-06-19,52.25,54.63,normal,0.0,0.0,302.1647621,1.102688505,,,
2020-06-20,52.2,55.87,normal,0.0,0.0,371.3404937,0.768689306,,,
2020-06-21,47.16,47.16,normal,0.0,0.0,395.8486999,0.882039714,,,
2020-06-22,54.9,57.03,normal,0.0,0.0,309.7141087,1.061148315,,,
2020-06-23,49.0,50.2,normal,0.0,0.0,402.4311569,0.986404079,,,
2020-06-24,53.11,55.56,normal,0.0,-0.955582223,372.5381108,1.142869828,,,
2020-06-25,52.44,55.86,normal,0.0,0.0,445.3663805,0.97332725,,,
2020-06-26,50.17,53.61,normal,0.0,0.0,344.9567854,0.915052218,,,
2020-06-27,54.08,56.93,normal,0.0,0.0,348.2584234,0.927975854,,,
2020-06-28,51.34,52.69,normal,0.0,0.0,370.049441,0.931566159,,,
2020-06-29,53.85,58.02,normal,0.0,0.0,319.6003325,1.050586593,,,
2020-06-30,54.2,56.92,normal,0.0,0.0,329.3527025,1.038933737,,,
2020-07-01,55.35,57.89,normal,0.0,0.0,370.2076057,1.175194856,,,
2020-07-02,57.16,60.5,normal,0.0,0.0,390.8511922,0.918999449,,,
2020-07-03,51.73,53.53,normal,0.0,0.0,447.8748855,0.998394001,,,
2020-07-04,54.15,57.04,normal,0.0,-0.110497051,345.9557329,1.040555475,,,
2020-07-05,54.43,56.91,normal,0.0,0.0,344.5153106,0.910109047,,,
2020-07-06,57.41,59.62,normal,0.0,0.0,359.1636126,1.064561217,,,
2020-07-07,54.49,57.6,normal,0.0,0.0,275.5239565,0.970153387,,,
2020-07-08,57.14,61.63,normal,0.0,0.0,338.2112396,1.021033243,,,
2020-07-09,58.4,62.6,normal,0.0,0.0,360.1830167,1.152707305,,,
